"App","Main","Sub (เมนู)","Model (โมเดลจริง)","ต้องใช้ ir.rule?","Rule domain hint","หมายเหตุ","ROLE: AP ภาษีซื้อ","ROLE: AR ภาษีขาย","ROLE: Sales","ROLE: Purchase","ROLE: Inventory","ROLE: Acct Manager","ROLE: Admin"
"Accounting","Accounting","Transfers","account.payment","Y","paired_internal_transfer_payment_id!=False","Odoo18 ตัด is_internal_transfer ทิ้ง ใช้ฟิลด์คู่โอนแทน","-","-","","","","F","F"
"Accounting","Accounting","Analytic Items","account.analytic.line","N","","","-","-","","","","E","F"
"Accounting","Accounting","Analytic Budget","budget.analytic","N","","Enterprise account_budget","-","-","","","","E","F"
"Accounting","Accounting","Assets","account.asset","N","","Enterprise; เช็กว่าติดตั้ง account_asset","-","-","","","","E","F"
"Accounting","Accounting","Loans","account.loan","N","","Enterprise account_loans; เช็กว่าติดตั้ง","-","-","","","","E","F"
"Accounting","Accounting","Reconcile","account.move.line","N","","client action (account_accountant)","E","E","","","","F","F"
"Accounting","Accounting","Lock Dates","res.company","N","","wizard; ปกติเฉพาะ Manager/Admin","-","-","","","","E","F"
"Accounting","Accounting","Tax Invoices","account.move.tax.invoice","N","","Thai custom","E","E","","","","F","F"
"Accounting","Accounting","Withholding Tax Move","account.withholding.move","N","","Thai custom","C","-","","","","F","F"
"Accounting","Accounting","Chart of Accounts Hierarchy","account.account","N","","","R","R","","","","E","F"
"Accounting","Reporting","Statement Reports","account.report","N","","read-only (engine รายงาน)","R","R","","","","R","F"
"Accounting","Reporting","Audit Reports","account.report","N","","read-only","R","R","","","","R","F"
"Accounting","Reporting","Partner Reports","account.report","N","","read-only","R","R","","","","R","F"
"Accounting","Reporting","Management","account.report","N","","read-only","-","-","","","","R","F"
"Accounting","Reporting","Thai Accounting Reports","(wizard) l10n_th_account_tax_report","N","","tax.report.wizard / withholding wizard","R","R","","","","R","F"
"Accounting","Reporting","MIS Reporting","mis.report.instance","N","","mis_builder / l10n_th_mis_report","-","-","","","","R","F"
"Accounting","Configuration","Settings","res.config.settings","N","","เฉพาะ Admin","-","-","","","","-","F"
"Accounting","Configuration","Invoicing","account.journal","N","","","-","-","","","","E","F"
"Accounting","Configuration","Banks","res.partner.bank","N","","+ res.bank","-","-","","","","E","F"
"Accounting","Configuration","Accounting","account.account","N","","ผังบัญชี","R","R","","","","E","F"
"Accounting","Configuration","Online Payments","payment.provider","N","","","-","-","","","","-","F"
"Accounting","Configuration","Management","(config หลายโมเดล)","N","","payment terms / fiscal position ฯลฯ","-","-","","","","E","F"
"Accounting","Configuration","Analytic Accounting","account.analytic.account","N","","","-","-","","","","E","F"
"Accounting","Configuration","MIS Reporting","mis.report","N","","นิยาม template รายงาน MIS","-","-","","","","E","F"
"Contacts","Contacts","Contacts","res.partner","N","","","R","E","","","","E","F"
"Contacts","Configuration","Contact Tags","res.partner.category","N","","","-","-","","","","E","F"
"Contacts","Configuration","Contact Titles","res.partner.title","N","","","-","-","","","","E","F"
"Contacts","Configuration","Industries","res.partner.industry","N","","","-","-","","","","E","F"
"Contacts","Configuration","Localization","res.country / res.country.state","N","","เช็กว่าเมนูชี้โมเดลไหน","-","-","","","","-","F"
"Contacts","Configuration","Bank Accounts","res.partner.bank","N","","","-","-","","","","E","F"
"Contacts","Configuration","Company Types","(verify)","N","","ไม่ใช่เมนูมาตรฐาน — เช็กว่ามาจาก custom addon ไหน","-","-","","","","-","F"
"Sales","Orders","Quotations","sale.order","Y","state in (draft,sent)","แชร์โมเดลกับ Orders","","","C","","","","F"
"Sales","Orders","Orders","sale.order","Y","state in (sale,done)","","","","E","","","","F"
"Sales","Orders","Sales Teams","crm.team","N","","","","","R","","","","F"
"Sales","Orders","Customers","res.partner","N","","","","","E","","","","F"
"Sales","To Invoice","Orders to Invoice","sale.order","Y","invoice_status=to invoice","","","","E","","","","F"
"Sales","To Invoice","Orders to Upsell","sale.order","Y","invoice_status=upselling","","","","E","","","","F"
"Sales","Reporting","Sales","sale.report","N","","read-only report","","","R","","","","F"
"Sales","Reporting","Salespersons","sale.report","N","","read-only report","","","R","","","","F"
"Sales","Products","Products","product.template","N","","","","","R","","","","F"
"Sales","Products","Customers","res.partner","N","","","","","R","","","","F"
"Sales","Configuration","Settings","res.config.settings","N","","","","","-","","","","F"
"Sales","Configuration","Sales Teams","crm.team","N","","","","","E","","","","F"
"Sales","Configuration","Sales Orders","sale.order.template","N","","Quotation Templates; เช็กชื่อเมนู","","","E","","","","F"
"Sales","Configuration","Products","product.template","N","","","","","E","","","","F"
"Sales","Configuration","Online Payments","payment.provider","N","","","","","-","","","","F"
"Sales","Configuration","Units of Measure","uom.uom","N","","","","","E","","","","F"
"Sales","Configuration","Activities","mail.activity.type","N","","เช็กว่าเมนูชี้โมเดลไหน","","","-","","","","F"
"Purchase","Orders","Requests for Quotation","purchase.order","Y","state in (draft,sent)","แชร์โมเดลกับ Purchase Orders","","","","C","","","F"
"Purchase","Orders","Purchase Orders","purchase.order","Y","state in (purchase,done)","","","","","E","","","F"
"Purchase","Orders","Purchase Agreements","purchase.requisition","N","","โมดูล purchase_requisition","","","","E","","","F"
"Purchase","Orders","Vendors","res.partner","N","","","","","","E","","","F"
"Purchase","Products","Products","product.template","N","","","","","","R","","","F"
"Purchase","Products","Product Variants","product.product","N","","","","","","R","","","F"
"Purchase","Reporting","Purchase","purchase.report","N","","read-only report","","","","R","","","F"
"Purchase","Configuration","Settings","res.config.settings","N","","","","","","-","","","F"
"Purchase","Configuration","Vendor Pricelists","product.supplierinfo","N","","","","","","E","","","F"
"Purchase","Configuration","Products","product.template","N","","","","","","E","","","F"
"Purchase","Configuration","Units of Measures","uom.uom","N","","","","","","E","","","F"
"Inventory","Overview","Overview","stock.picking.type","N","","dashboard","","","","","R","","F"
"Inventory","Operations","Transfers","stock.picking","N","","","","","","","E","","F"
"Inventory","Operations","Jobs","stock.picking.batch","N","","เช็ก: Batch Transfers?","","","","","E","","F"
"Inventory","Operations","Adjustments","stock.quant","N","","inventory adjustment","","","","","E","","F"
"Inventory","Operations","Procurement","procurement.group","N","","Run Scheduler / replenish (action)","","","","","E","","F"
"Inventory","Products","Products","product.template","N","","","","","","","R","","F"
"Inventory","Products","Product Variants","product.product","N","","","","","","","R","","F"
"Inventory","Products","Lots / Serial Numbers","stock.lot","N","","","","","","","E","","F"
"Inventory","Products","Packages","stock.quant.package","N","","","","","","","E","","F"
"Inventory","Reporting","Stock","stock.quant","N","","read-only","","","","","R","","F"
"Inventory","Reporting","Locations","stock.quant","N","","read-only (by location)","","","","","R","","F"
"Inventory","Reporting","Moves History","stock.move.line","N","","read-only","","","","","R","","F"
"Inventory","Reporting","Moves Analysis","stock.move","N","","read-only report","","","","","R","","F"
"Inventory","Reporting","Valuation","stock.valuation.layer","N","","read-only","","","","","R","","F"
"Inventory","Configuration","Settings","res.config.settings","N","","","","","","","-","","F"
"Inventory","Configuration","Warehouse Management","stock.warehouse","N","","+ stock.location, stock.route","","","","","E","","F"
"Inventory","Configuration","Products","product.template","N","","","","","","","E","","F"
"Inventory","Configuration","Units of Measures","uom.uom","N","","","","","","","E","","F"
"Inventory","Configuration","Delivery","delivery.carrier","N","","โมดูล delivery","","","","","E","","F"
